timestamp,agent.name,rule.description,rule.level,rule.id
"Jun 30, 2026 @ 22:51:08.123","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 22:51:08.123","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 22:51:08.122","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 22:51:02.113","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 22:51:02.113","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 22:51:02.113","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 22:47:27.791","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 22:47:27.791","srv-prod","Successful sudo to ROOT executed.","3","5402"
"Jun 30, 2026 @ 22:47:27.791","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 22:47:21.785","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 22:47:21.785","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 22:47:21.785","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 22:47:21.784","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 22:47:21.784","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 22:47:19.791","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 22:47:19.791","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 22:47:19.791","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 22:47:19.790","srv-prod","sshd: brute force trying to get access to the system. Authentication failed.","10","5763"
"Jun 30, 2026 @ 22:47:19.785","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 22:47:17.779","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 22:47:17.779","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 22:47:17.779","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 22:47:17.776","srv-prod","sshd: authentication failed.","5","5760"
"Jun 30, 2026 @ 22:47:17.775","srv-prod","sshd: authentication failed.","5","5760"
