timestamp,agent.name,rule.description,rule.level,rule.id
"Jun 30, 2026 @ 21:55:34.619","srv-prod","Dpkg (Debian Package) half configured.","7","2904"
"Jun 30, 2026 @ 21:55:34.619","srv-prod","Dpkg (Debian Package) removed.","7","2903"
"Jun 30, 2026 @ 21:55:33.878","srv-prod","New dpkg (Debian Package) installed.","7","2902"
"Jun 30, 2026 @ 21:54:23.440","srv-prod","Wazuh server started.","3","502"
"Jun 30, 2026 @ 21:54:17.207","srv-prod","Host-based anomaly detection event (rootcheck).","7","510"
"Jun 30, 2026 @ 21:54:16.736","srv-prod","Host-based anomaly detection event (rootcheck).","7","510"
"Jun 30, 2026 @ 21:52:00.819","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 21:52:00.477","srv-prod","New dpkg (Debian Package) installed.","7","2902"
"Jun 30, 2026 @ 21:51:58.815","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 21:51:58.815","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 21:51:56.816","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 21:51:56.811","srv-prod","PAM: Login session closed.","3","5502"
"Jun 30, 2026 @ 21:51:54.808","srv-prod","PAM: Login session opened.","3","5501"
"Jun 30, 2026 @ 21:51:52.461","srv-prod","Dpkg (Debian Package) half configured.","7","2904"
"Jun 30, 2026 @ 21:42:49.322","srv-prod","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 30, 2026 @ 21:42:04.348","srv-prod","New dpkg (Debian Package) installed.","7","2902"
"Jun 30, 2026 @ 21:42:01.182","srv-prod","Dpkg (Debian Package) half configured.","7","2904"
"Jun 30, 2026 @ 21:41:55.112","srv-prod","New dpkg (Debian Package) requested to install.","3","2901"
"Jun 30, 2026 @ 21:41:51.487","srv-prod","Wazuh server started.","3","502"
"Jun 30, 2026 @ 21:41:41.142","srv-prod","Host-based anomaly detection event (rootcheck).","7","510"
"Jun 30, 2026 @ 21:41:40.999","srv-prod","Host-based anomaly detection event (rootcheck).","7","510"
